No;Kurum;Ders Kategorisi;Ders Açıklaması;Ders Konusu;Tarih;Süre;Klasör Adı;Oynatma Linki
1;Belirsiz / Bilinmeyen Müşteri;Eski Türk Edebiyatı 12 Söz Sanatları;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Edebiyatı 12 Söz Sanatları;2.05.2023 21:44;Bilinmiyor;339932dd288b409d621f1af128d0e3d0b6ea97be-1683053047016;https://185.86.155.222/playback/presentation/2.3/339932dd288b409d621f1af128d0e3d0b6ea97be-1683053047016
2;Belirsiz / Bilinmeyen Müşteri;Matematik Konu: basit eşitsizlik ve mutlak değer;ID ve Kelime Eşleşmesi Bulunamadı;Matematik Konu: basit eşitsizlik ve mutlak değer;17.11.2023 20:37;Bilinmiyor;7a0ea3e89fcec6802bf66d95ed78e5450819211a-1700242649886;https://185.86.155.222/playback/presentation/2.3/7a0ea3e89fcec6802bf66d95ed78e5450819211a-1700242649886
3;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ŞİİRİ -15;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ŞİİRİ -15;26.03.2024 22:14;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1711480471282;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1711480471282
4;Belirsiz / Bilinmeyen Müşteri;Amerikan ed. devam;ID ve Kelime Eşleşmesi Bulunamadı;Amerikan ed. devam;29.12.2024 20:43;Bilinmiyor;5c288540cc4a3963fdae332c9d03f4a623c474ee-1735494202906;https://185.86.155.222/playback/presentation/2.3/5c288540cc4a3963fdae332c9d03f4a623c474ee-1735494202906
5;Belirsiz / Bilinmeyen Müşteri;aruzun kaideleri;ID ve Kelime Eşleşmesi Bulunamadı;aruzun kaideleri;24.01.2024 19:56;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1706115372274;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1706115372274
6;Belirsiz / Bilinmeyen Müşteri;DÖRT TEMEL BECERİ - 9;ID ve Kelime Eşleşmesi Bulunamadı;DÖRT TEMEL BECERİ - 9;28.07.2024 19:27;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722184074338;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722184074338
7;Belirsiz / Bilinmeyen Müşteri;ÇOCUK EDEBİYATINA GİRİŞ;ID ve Kelime Eşleşmesi Bulunamadı;ÇOCUK EDEBİYATINA GİRİŞ;16.03.2024 21:22;Bilinmiyor;f67b4948b1592313c2fb1206ef8b9f23a7902842-1710613352375;https://185.86.155.222/playback/presentation/2.3/f67b4948b1592313c2fb1206ef8b9f23a7902842-1710613352375
8;Belirsiz / Bilinmeyen Müşteri;aşık kolları aşık faslı;ID ve Kelime Eşleşmesi Bulunamadı;aşık kolları aşık faslı;6.01.2024 20:45;Bilinmiyor;d39446f272688d5e772f0ac8214efd6620555449-1704563144597;https://185.86.155.222/playback/presentation/2.3/d39446f272688d5e772f0ac8214efd6620555449-1704563144597
9;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - ÇOCUK EDEBİYATI;;SORU ÇÖZÜM-4;11.05.2025 19:55;46 dk;7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746374024847;https://185.86.155.222/playback/presentation/2.3/7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746374024847
10;Türkçe ÖABTdeyiz;Türkçe Konu: Ses Bilgisi Soru Çözümü ;Arşiv / Eski Dönem Dersi;Türkçe Konu: Ses Bilgisi Soru Çözümü ;30.10.2023 20:33;Bilinmiyor;2a8cd28b3784c521bae589a35111e4cc0b4f4755-1698687195762;https://185.86.155.222/playback/presentation/2.3/2a8cd28b3784c521bae589a35111e4cc0b4f4755-1698687195762
11;Türkçe ÖABTdeyiz;.2026 HALK EDEBİYATI;;halk edebiyatında tür ve şekil;10.11.2025 18:53;40 dk;6fb816cac8d877ed782a082bbfb25c5eb5744b39-1765209360321;https://185.86.155.222/playback/presentation/2.3/6fb816cac8d877ed782a082bbfb25c5eb5744b39-1765209360321
12;Belirsiz / Bilinmeyen Müşteri;DİL ÖĞRETİM YÖNTEMLERİ - 6;ID ve Kelime Eşleşmesi Bulunamadı;DİL ÖĞRETİM YÖNTEMLERİ - 6;29.05.2024 18:50;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716997859658;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716997859658
13;Belirsiz / Bilinmeyen Müşteri;SÜREÇ TEMELLİ YAZMA YÖNTEMİ - 2;ID ve Kelime Eşleşmesi Bulunamadı;SÜREÇ TEMELLİ YAZMA YÖNTEMİ - 2;1.03.2024 19:43;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1709311431151;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1709311431151
14;Belirsiz / Bilinmeyen Müşteri;cumhuriyet dönemi sanatçılar 2;ID ve Kelime Eşleşmesi Bulunamadı;cumhuriyet dönemi sanatçılar 2;19.03.2023 19:51;Bilinmiyor;cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1679244677851;https://185.86.155.222/playback/presentation/2.3/cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1679244677851
15;Belirsiz / Bilinmeyen Müşteri;YENİ TÜRK EDEBİYATININ OLUŞUMU-1;ID ve Kelime Eşleşmesi Bulunamadı;YENİ TÜRK EDEBİYATININ OLUŞUMU-1;5.11.2024 18:55;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1730822149774;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1730822149774
