Klasor Adi;Ders Adi;Kurum
339932dd288b409d621f1af128d0e3d0b6ea97be-1683053047016;Eski Türk Edebiyatı 12 Söz Sanatları;Kurum Girilecek
7a0ea3e89fcec6802bf66d95ed78e5450819211a-1700242649886;Matematik Konu: basit eşitsizlik ve mutlak değer;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1711480471282;CUMHURİYET ŞİİRİ -15;Kurum Girilecek
5c288540cc4a3963fdae332c9d03f4a623c474ee-1735494202906;Amerikan ed. devam;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1706115372274;aruzun kaideleri;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722184074338;DÖRT TEMEL BECERİ - 9;Kurum Girilecek
f67b4948b1592313c2fb1206ef8b9f23a7902842-1710613352375;ÇOCUK EDEBİYATINA GİRİŞ;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1704563144597;aşık kolları aşık faslı;Kurum Girilecek
7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746374024847;SORU ÇÖZÜMÜ-1;Kurum Girilecek
2a8cd28b3784c521bae589a35111e4cc0b4f4755-1698687195762;Türkçe Konu: Ses Bilgisi Soru Çözümü ;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1765209360321;cumhuriyet dönemi hak ozanları;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716997859658;DİL ÖĞRETİM YÖNTEMLERİ - 6;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1709311431151;SÜREÇ TEMELLİ YAZMA YÖNTEMİ - 2;Kurum Girilecek
cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1679244677851;cumhuriyet dönemi sanatçılar 2;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1730822149774;YENİ TÜRK EDEBİYATININ OLUŞUMU-1;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1702483018721;2023 Türkçe öabt Eski Edebiyat çıkmış sorular Analizsöz sanatları;Kurum Girilecek
8b3991219a3ad3bdb500da7e0f720cb8f9053054-1703420130484;Coğrafya Konu: ;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716659584469;DİL ÖĞRETİM YÖNTEMLERİ - 5;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1744307936747;1982 ANAYASASI 3. DERS;Kurum Girilecek
2ed54bfd89b6bed34bf2961d898847df6f57142a-1672165010256;Eski Türk Dili 17, Fiilde Çatı-Yapım Ekleri;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1732726081464;nazım şekilleri;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722527119808;DÖRT TEMEL BECERİ - 10;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1741371932222;222 SAYILI KANUN 2. DERS;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716656193973;DİL ÖĞRETİM YÖNTEMLERİ - 4;Kurum Girilecek
814200dbd189c00466ee5ba1e9a09813f6d3bccc-1688223246782;Hüseyin Şimşek Coğrafya ;Kurum Girilecek
c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1741540291293;4- SES BİLGİSİ;Kurum Girilecek
403e7c4599e9a25f7617b1b86e974585ad29418a-1716314166875;21) Cümle Bilgisi (Cümle Türleri);Kurum Girilecek
837699e58ed5985550a59f16cf6915cc07951087-1709826702819;YTE Konu: ;Kurum Girilecek
14e38e900477a20df0017cbca28c0ff90cb8a116-1744127658884;Tarih: ;Kurum Girilecek
3c83e379c581171703c79fa37d8f61d72736e74b-1715789737641;Çocuk Edebiyatı: ;Kurum Girilecek
85cf7f78d52f24b1855c37e9a252bd190adc9774-1684946482669;SORU ÇÖZÜMÜ - 12;Kurum Girilecek
069ace2a95e361bba202fb4dc518b186d25cf573-1707407713536;TYT Din Kültürü: ;Kurum Girilecek
a9cb207371a459e06a8c8ff7edf8adfbbc37198b-1708273279895;Paragraf : Paragrafta Anlam;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1708880191689;YAZILI ANLATIM UNSURLARI;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1703958171076;halk edebiyatı tür ve şekil;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1707587676254;OKUMA EĞİTİMİ GENEL SORU ÇÖZÜMÜ;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767546401616;Rus ed. 3;Kurum Girilecek
cb645d5bf14f9040d40180a383ab7ccd3720eaa6-1713975343384;Çocuk Edebiyatı: ;Kurum Girilecek
33282721e41f2d73ae0d1b4dabc4cc3b1644b4f9-1698254570128;Türkçe Konu: Noktalama İşaretleri;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1761845844118;Eski Türk Edebiyatında Mazmunlar-2;Kurum Girilecek
d6ed44612cb079f49d9fdb97fdccb29f6dca7986-1720177186467;2024 Haziran EB Öğrenme ;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736272376512;MİLLİ EDEBİYAT DÖNEMİ-2;Kurum Girilecek
bf34a30375919b679162e745b11e71cb60b00db8-1714925448870;şerh 7;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699120638546;DİNLEME ÖĞRETİMİ AMAÇLARI;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767542007380;Rus Ed. 2;Kurum Girilecek
257b8486470c6884f0398c39a6e5efed9426676c-1710178559290;İnkılap Tarihi Konu: ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1740591494537;şair yazar eser;Kurum Girilecek
d44903671de8d1334d8ad17ab92feffe4927e2ea-1746897265986;2025 Coğrafya son ders ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1703606141299;SERVETİFÜNUN EDEBİYATI-9;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1698770964813;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738687692454;Ara Soru Çözüm -4;Kurum Girilecek
